Año,Trimestre,Provincia,Hasta 512kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total,Mbps (Media de bajada)
2015,4,Chubut,625,5774,71881,168,0,0,0,0,78448,3.283865031613298
2015,4,Córdoba,148,63746,427471,62989,67151,3336,1088,0,625929,5.0670814932684065
2015,4,Corrientes,29,11248,48104,17877,7569,456,150,0,85433,5.259482120492081
2015,4,Entre Ríos,2865,18883,104224,33989,13668,399,163,0,174191,5.007855905299356
2015,4,Formosa,1791,6081,14279,2704,2713,519,4,0,28091,4.660308568580684
2015,4,Jujuy,2551,8876,21867,5044,1587,0,0,0,39925,3.7246804758922987
2015,4,La Pampa,592,12951,48798,16,63,49,10,0,62479,2.936747707229629
2015,4,La Rioja,10,3638,9127,2937,1215,2,3,0,16932,4.521671863926294
2015,4,Mendoza,241,23,174719,38,41,5,13,0,175080,3.5017779300891023
2015,4,Misiones,959,9169,51029,17281,13690,675,52,0,92855,5.9022914436487
2015,4,Neuquén,1727,2061,89678,455,7934,9,175,0,102039,4.355592861552936
2015,4,Río Negro,3282,4473,89062,201,4024,5,75,0,101122,3.768932299598505
2015,4,Salta,1122,11387,65677,17139,6507,99,5,0,101936,4.673467038141578
2015,4,San Juan,9,386,55761,0,0,0,2,0,56158,3.481604116955732
2015,4,San Luis,8,4,13473,0,0,1,2,0,13488,3.502937425860024
2015,4,Santa Cruz,188,26,32338,3,0,0,0,0,32555,3.4809679619106126
2015,4,Santa Fe,6659,75770,361264,60985,51258,3079,1189,0,560204,4.809873774553555
2015,4,Santiago Del Estero,703,7836,23074,5669,1856,0,0,0,39138,4.0941016914507635
2015,4,Tierra Del Fuego,16,285,32662,0,0,0,0,0,32963,3.4748248642417257
2015,4,Tucumán,107,21800,83887,29942,9507,837,0,0,146080,4.882297946330778
2015,3,Buenos Aires,8361,107351,2266948,262563,200490,2642,7720,0,2856077,4.700597914270459
2015,3,Capital Federal,2448,49339,942524,159618,175594,2027,10022,0,1341574,5.66468043459464
2015,3,Catamarca,15,6871,14206,4143,812,43,1,0,26091,3.884563872599747
2015,3,Chaco,240,10353,47131,19016,7498,979,157,0,85374,5.46643296553986
2015,3,Chubut,641,5886,71668,167,0,0,0,0,78362,3.2790384114749496
2015,3,Córdoba,150,68765,429787,61109,59372,2582,1048,0,622813,4.867849001225086
2015,3,Corrientes,33,11921,48127,18168,6111,453,146,0,84959,5.063473816782213
2015,3,Entre Ríos,2863,20385,103990,34788,9924,384,153,0,172487,4.766712366729086
2015,3,Formosa,1862,6521,14354,2791,1842,379,2,0,27751,4.166164102194515
2015,3,Jujuy,2549,9278,21588,5169,966,0,0,0,39550,3.532724551201011
2015,3,La Pampa,613,13087,47660,9,55,39,10,0,61473,2.9149322141427945
2015,3,La Rioja,10,3840,9102,2984,832,0,3,0,16771,4.245850575398008
2015,3,Mendoza,256,25,173430,45,18,5,13,0,173792,3.500160951021911
2015,3,Misiones,958,9809,51234,17367,11654,559,43,0,91624,5.634289050903693
2015,3,Neuquén,1733,2124,85044,210,6599,2,155,0,95867,4.2299439848957405
2015,3,Río Negro,3372,4457,88691,99,3826,1,62,0,100508,3.7368314562024914
2015,3,Salta,1126,12223,65405,17451,4318,61,5,0,100589,4.4218314129775615
2015,3,San Juan,9,391,54963,0,0,0,2,0,55365,3.4810928203738825
