Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total)
2022,4,Buenos Aires,17.763738794105226,53.50257390533205,3128431
2022,4,Capital Federal,50.80126734907988,122.72706534018253,1563142
2022,4,Catamarca,6.016207477593805,23.651659885809703,25083
2022,4,Chaco,5.348296317660513,20.011183343984328,64683
2022,4,Chubut,8.704445533425885,28.398139837487445,54249
2022,4,Córdoba,13.110912114908754,42.82349368238305,495095
2022,4,Corrientes,7.91394233293118,30.055072649916383,89013
2022,4,Entre Ríos,11.511792878658362,38.50277734684737,160151
2022,4,Formosa,5.7947576102924225,22.768217932174238,35186
2022,4,Jujuy,4.604532782770987,18.006546704896376,35655
2022,4,La Pampa,18.447988517767712,55.992343847255476,66351
2022,4,La Rioja,6.466605099168015,24.29282244802384,25586
2022,4,Mendoza,8.152267040967597,29.213915422756347,162938
2022,4,Misiones,6.025720559241422,22.123465258683687,76346
2022,4,Neuquén,10.29022850613441,34.5709744156662,68693
2022,4,Río Negro,8.962687644949618,29.13986457541157,67359
2022,4,Salta,6.032046271043781,24.906678035704267,86362
2022,4,San Juan,6.72931890388984,26.4179551943388,52803
2022,4,San Luis,5.42245877214773,18.947441255765913,27706
2022,4,Santa Cruz,6.221218615120081,20.909096553143016,22986
2022,4,Santa Fe,13.825796254686265,43.96949663564775,490492
2022,4,Santiago del Estero,6.606865477661677,26.621912042090983,64909
2022,4,Tierra del Fuego,8.465922532924624,28.55675326414575,14833
2022,4,Tucumán,9.561404043186945,38.5998689745915,162823
2022,3,Buenos Aires,17.739892500269217,53.55683656218194,3116760
2022,3,Capital Federal,50.97151617469915,122.9956193535195,1567975
2022,3,Catamarca,6.1643392669363095,24.233937024584673,25646
2022,3,Chaco,5.433210055767578,20.328789275056803,65551
2022,3,Chubut,9.456678509948107,30.851850773496437,58697
2022,3,Córdoba,12.927360243483484,42.22374516056416,486942
2022,3,Corrientes,8.016525889180048,30.44456510844869,89977
2022,3,Entre Ríos,11.325273113339083,37.87878308786766,157201
2022,3,Formosa,5.817520548781594,22.857562083091082,35254
2022,3,Jujuy,4.662584849054896,18.233474043970066,36008
2022,3,La Pampa,18.447467604961712,55.99048708121972,66212
2022,3,La Rioja,6.45229450300002,24.238867539162815,25447
2022,3,Mendoza,6.944863331163062,24.88701820664064,138458
2022,3,Misiones,6.062550996100752,22.258544601503917,76605
2022,3,Neuquén,10.981743514178008,36.893879831509366,73079
2022,3,Río Negro,8.690879479959795,28.255938029203868,65111
2022,3,Salta,6.149671813162931,25.392157642411966,87776
2022,3,San Juan,7.741931730107063,30.39309460576853,60588
2022,3,San Luis,4.9811324754339745,17.40521620592262,25373
2022,3,Santa Cruz,6.2083298305452415,20.86515868756222,22797
2022,3,Santa Fe,14.055260142218742,44.69911506251442,497685
2022,3,Santiago del Estero,6.390204928175443,25.74875657265278,62622
2022,3,Tierra del Fuego,10.980728139501318,37.03846717681517,19122
2022,3,Tucumán,9.644720876417995,38.93594354382534,163764
2022,2,Buenos Aires,12.98357515874278,39.28928419468335,3128431
2022,2,Capital Federal,32.83802404589871,79.14623938340183,1563142
2022,2,Catamarca,6.534830827470239,25.68994673125275,25083
2022,2,Chaco,5.658461586130943,21.17103290045821,64683
2022,2,Chubut,9.498000769562688,30.98539842430874,54249
2022,2,Córdoba,12.928294935573353,42.22602861556422,495095
2022,2,Corrientes,8.10575144908121,30.782637345916914,89013
2022,2,Entre Ríos,11.676470713681503,39.05268308885202,160151
2022,2,Formosa,5.802780850525564,22.799049740345158,35186
