Año,Trimestre,Provincia,Mbps (Media de bajada),Porcentaje_Provincias_Mayor_30
2022,4,Buenos Aires,111.0,0.7916666666666666
2022,4,Capital Federal,182.86,0.7916666666666666
2022,4,Catamarca,83.33,0.7916666666666666
2022,4,Chaco,104.02,0.7916666666666666
2022,4,Chubut,15.92,0.7916666666666666
2022,4,Córdoba,108.77,0.7916666666666666
2022,4,Corrientes,94.72,0.7916666666666666
2022,4,Entre Ríos,87.47,0.7916666666666666
2022,4,Formosa,72.03,0.7916666666666666
2022,4,Jujuy,39.32,0.7916666666666666
2022,4,La Pampa,19.1,0.7916666666666666
2022,4,La Rioja,61.0,0.7916666666666666
2022,4,Mendoza,38.76,0.7916666666666666
2022,4,Misiones,91.24,0.7916666666666666
2022,4,Neuquén,95.37,0.7916666666666666
2022,4,Río Negro,75.31,0.7916666666666666
2022,4,Salta,75.93,0.7916666666666666
2022,4,San Juan,16.39,0.7916666666666666
2022,4,San Luis,30.67,0.7916666666666666
2022,4,Santa Cruz,14.33,0.7916666666666666
2022,4,Santa Fe,90.3,0.7916666666666666
2022,4,Santiago Del Estero,34.4,0.7916666666666666
2022,4,Tierra Del Fuego,13.48,0.7916666666666666
2022,4,Tucumán,88.33,0.7916666666666666
2021,4,Buenos Aires,60.2091238315554,0.5416666666666666
2021,4,Capital Federal,82.94995496542248,0.5416666666666666
2021,4,Catamarca,46.380057758939095,0.5416666666666666
2021,4,Chaco,42.342637514688604,0.5416666666666666
2021,4,Chubut,9.082660638555469,0.5416666666666666
2021,4,Córdoba,46.36090745799214,0.5416666666666666
2021,4,Corrientes,35.772659194287044,0.5416666666666666
2021,4,Entre Ríos,33.31712584167462,0.5416666666666666
2021,4,Formosa,28.75764894769421,0.5416666666666666
2021,4,Jujuy,27.14434303841708,0.5416666666666666
2021,4,La Pampa,13.853882842854397,0.5416666666666666
2021,4,La Rioja,39.69594513667998,0.5416666666666666
2021,4,Mendoza,22.23158340100516,0.5416666666666666
2021,4,Misiones,38.90334925090757,0.5416666666666666
2021,4,Neuquén,40.092530111167584,0.5416666666666666
2021,4,Río Negro,27.20317045489215,0.5416666666666666
2021,4,Salta,33.940639744985226,0.5416666666666666
2021,4,San Juan,11.05274930815778,0.5416666666666666
2021,4,San Luis,20.90972444801464,0.5416666666666666
2021,4,Santa Cruz,8.990650984477549,0.5416666666666666
2021,4,Santa Fe,36.024023837275145,0.5416666666666666
2021,4,Santiago Del Estero,13.84088684951507,0.5416666666666666
2021,4,Tierra Del Fuego,10.696704944050463,0.5416666666666666
2021,4,Tucumán,45.14812243339947,0.5416666666666666
2020,4,Buenos Aires,50.00838083963576,0.2916666666666667
2020,4,Capital Federal,67.32513676879374,0.2916666666666667
2020,4,Catamarca,37.6500877273544,0.2916666666666667
2020,4,Chaco,32.45204676418101,0.2916666666666667
2020,4,Chubut,7.383087626414736,0.2916666666666667
2020,4,Córdoba,35.120601241883946,0.2916666666666667
2020,4,Corrientes,25.446700896630592,0.2916666666666667
2020,4,Entre Ríos,24.05327825306045,0.2916666666666667
2020,4,Formosa,19.6983490087788,0.2916666666666667
2020,4,Jujuy,25.20639328416149,0.2916666666666667
2020,4,La Pampa,9.875605170860927,0.2916666666666667
2020,4,La Rioja,12.534655980598345,0.2916666666666667
2020,4,Mendoza,11.093171319457166,0.2916666666666667
2020,4,Misiones,24.956617779680364,0.2916666666666667
2020,4,Neuquén,33.90786486677393,0.2916666666666667
2020,4,Río Negro,21.636719189849995,0.2916666666666667
2020,4,Salta,25.32243965074473,0.2916666666666667
2020,4,San Juan,6.412867397953183,0.2916666666666667
2020,4,San Luis,21.252954082189127,0.2916666666666667
2020,4,Santa Cruz,7.492108628119051,0.2916666666666667
2020,4,Santa Fe,27.294352446215623,0.2916666666666667
2020,4,Santiago Del Estero,11.280765527511996,0.2916666666666667
2020,4,Tierra Del Fuego,8.486806949337868,0.2916666666666667
2020,4,Tucumán,36.44224682915296,0.2916666666666667
2019,4,Buenos Aires,30.769694141005864,0.08333333333333333
2019,4,Capital Federal,44.20317867008588,0.08333333333333333
2019,4,Catamarca,24.87830767046261,0.08333333333333333
2019,4,Chaco,23.37495080016229,0.08333333333333333
2019,4,Chubut,6.994113523445059,0.08333333333333333
2019,4,Córdoba,26.16228061451293,0.08333333333333333
2019,4,Corrientes,19.255411607971407,0.08333333333333333
2019,4,Entre Ríos,17.007580897657125,0.08333333333333333
2019,4,Formosa,14.525629551519328,0.08333333333333333
2019,4,Jujuy,12.959200042804213,0.08333333333333333
2019,4,La Pampa,6.526152195693043,0.08333333333333333
2019,4,La Rioja,8.000880364029628,0.08333333333333333
2019,4,Mendoza,7.785200889987086,0.08333333333333333
2019,4,Misiones,20.32034743574273,0.08333333333333333
2019,4,Neuquén,26.01988431478295,0.08333333333333333
2019,4,Río Negro,17.17699897385603,0.08333333333333333
2019,4,Salta,19.08357302283381,0.08333333333333333
2019,4,San Juan,6.040171698468491,0.08333333333333333
2019,4,San Luis,20.690353422143115,0.08333333333333333
2019,4,Santa Cruz,5.207925064069708,0.08333333333333333
2019,4,Santa Fe,20.54719701980728,0.08333333333333333
2019,4,Santiago Del Estero,9.792201844355846,0.08333333333333333
2019,4,Tierra Del Fuego,7.27,0.08333333333333333
2019,4,Tucumán,29.87038932431276,0.08333333333333333
2018,4,Buenos Aires,16.934363010150058,0.0
2018,4,Capital Federal,22.93530199223472,0.0
2018,4,Catamarca,8.043920202659912,0.0
2018,4,Chaco,13.492083570210347,0.0
2018,4,Chubut,6.085223903684034,0.0
